reading_package	manip_package	op	type	time	size	max_memory	rows	cols
data.table	data.table	setup	process	0.051875126999999965	1963219523	5880053760	100000	1000
data.table	data.table	setup	real	0.051879167556762695	1963219523	5880053760	100000	1000
data.table	data.table	read	process	5.577086213	1963219523	5880053760	100000	1000
data.table	data.table	read	real	1.2563517093658447	1963219523	5880053760	100000	1000
data.table	data.table	print	process	0.09918665400000037	1963219523	5880053760	100000	1000
data.table	data.table	print	real	0.09919476509094238	1963219523	5880053760	100000	1000
data.table	data.table	head	process	4.1016100000046407e-4	1963219523	5880053760	100000	1000
data.table	data.table	head	real	4.124641418457031e-4	1963219523	5880053760	100000	1000
data.table	data.table	tail	process	4.3974700000060096e-4	1963219523	5880053760	100000	1000
data.table	data.table	tail	real	4.417896270751953e-4	1963219523	5880053760	100000	1000
data.table	data.table	sample	process	0.002832650000000214	1963219523	5880053760	100000	1000
data.table	data.table	sample	real	0.002834796905517578	1963219523	5880053760	100000	1000
data.table	data.table	filter	process	0.003388150000000145	1963219523	5880053760	100000	1000
data.table	data.table	filter	real	0.003390073776245117	1963219523	5880053760	100000	1000
data.table	data.table	aggregate	process	0.014421183999999698	1963219523	5880053760	100000	1000
data.table	data.table	aggregate	real	0.003484010696411133	1963219523	5880053760	100000	1000
read.delim	base	setup	process	3.0330000000411417e-6	1963219523	15470862336	100000	1000
read.delim	base	setup	real	4.76837158203125e-6	1963219523	15470862336	100000	1000
read.delim	base	read	process	520.970175058	1963219523	15470862336	100000	1000
read.delim	base	read	real	520.9826147556305	1963219523	15470862336	100000	1000
read.delim	base	print	process	0.1300029069999482	1963219523	15470862336	100000	1000
read.delim	base	print	real	0.13001203536987305	1963219523	15470862336	100000	1000
read.delim	base	head	process	0.006249463000017386	1963219523	15470862336	100000	1000
read.delim	base	head	real	0.006251096725463867	1963219523	15470862336	100000	1000
read.delim	base	tail	process	0.006446566000022358	1963219523	15470862336	100000	1000
read.delim	base	tail	real	0.006448507308959961	1963219523	15470862336	100000	1000
read.delim	base	sample	process	0.008708142000045882	1963219523	15470862336	100000	1000
read.delim	base	sample	real	0.008709907531738281	1963219523	15470862336	100000	1000
read.delim	base	filter	process	0.07440451399997983	1963219523	15470862336	100000	1000
read.delim	base	filter	real	0.07440614700317383	1963219523	15470862336	100000	1000
read.delim	base	aggregate	process	0.00439676700000291	1963219523	15470862336	100000	1000
read.delim	base	aggregate	real	0.0043985843658447266	1963219523	15470862336	100000	1000
readr	dplyr	setup	process	0.26801563699999975	1963219523	5863723008	100000	1000
readr	dplyr	setup	real	0.2680184841156006	1963219523	5863723008	100000	1000
readr	dplyr	read	process	56.104649359	1963219523	5863723008	100000	1000
readr	dplyr	read	real	56.11158347129822	1963219523	5863723008	100000	1000
readr	dplyr	print	process	0.0787199290000018	1963219523	5863723008	100000	1000
readr	dplyr	print	real	0.0954742431640625	1963219523	5863723008	100000	1000
readr	dplyr	head	process	0.0027141720000045666	1963219523	5863723008	100000	1000
readr	dplyr	head	real	0.0027158260345458984	1963219523	5863723008	100000	1000
readr	dplyr	tail	process	0.0022157200000023636	1963219523	5863723008	100000	1000
readr	dplyr	tail	real	0.002217531204223633	1963219523	5863723008	100000	1000
readr	dplyr	sample	process	0.02533303300000256	1963219523	5863723008	100000	1000
readr	dplyr	sample	real	0.025334835052490234	1963219523	5863723008	100000	1000
readr	dplyr	filter	process	0.017108968999998808	1963219523	5863723008	100000	1000
readr	dplyr	filter	real	0.017110586166381836	1963219523	5863723008	100000	1000
readr	dplyr	aggregate	process	0.038782436000005305	1963219523	5863723008	100000	1000
readr	dplyr	aggregate	real	0.03878426551818848	1963219523	5863723008	100000	1000
vroom	base	setup	process	0.22703830000000025	1963219523	7791280128	100000	1000
vroom	base	setup	real	0.2270522117614746	1963219523	7791280128	100000	1000
vroom	base	read	process	16.174510832	1963219523	7791280128	100000	1000
vroom	base	read	real	2.998760223388672	1963219523	7791280128	100000	1000
vroom	base	print	process	0.07004265899999851	1963219523	7791280128	100000	1000
vroom	base	print	real	0.06718945503234863	1963219523	7791280128	100000	1000
vroom	base	head	process	0.003972434999997887	1963219523	7791280128	100000	1000
vroom	base	head	real	0.003973960876464844	1963219523	7791280128	100000	1000
vroom	base	tail	process	0.00348148499999823	1963219523	7791280128	100000	1000
vroom	base	tail	real	0.0034830570220947266	1963219523	7791280128	100000	1000
vroom	base	sample	process	0.00464282200000099	1963219523	7791280128	100000	1000
vroom	base	sample	real	0.0046443939208984375	1963219523	7791280128	100000	1000
vroom	base	filter	process	0.049587988999999055	1963219523	7791280128	100000	1000
vroom	base	filter	real	0.010494709014892578	1963219523	7791280128	100000	1000
vroom	base	aggregate	process	0.041909286999999296	1963219523	7791280128	100000	1000
vroom	base	aggregate	real	0.04191112518310547	1963219523	7791280128	100000	1000
vroom	dplyr	setup	process	0.2996260059999998	1963219523	7792242688	100000	1000
vroom	dplyr	setup	real	0.29964709281921387	1963219523	7792242688	100000	1000
vroom	dplyr	read	process	16.673107875	1963219523	7792242688	100000	1000
vroom	dplyr	read	real	2.9666857719421387	1963219523	7792242688	100000	1000
vroom	dplyr	print	process	0.07086207600000094	1963219523	7792242688	100000	1000
vroom	dplyr	print	real	0.06784224510192871	1963219523	7792242688	100000	1000
vroom	dplyr	head	process	0.003975565000001069	1963219523	7792242688	100000	1000
vroom	dplyr	head	real	0.0039768218994140625	1963219523	7792242688	100000	1000
vroom	dplyr	tail	process	0.013946671999999438	1963219523	7792242688	100000	1000
vroom	dplyr	tail	real	0.013948440551757812	1963219523	7792242688	100000	1000
vroom	dplyr	sample	process	0.02246668400000118	1963219523	7792242688	100000	1000
vroom	dplyr	sample	real	0.022468090057373047	1963219523	7792242688	100000	1000
vroom	dplyr	filter	process	0.05683080300000043	1963219523	7792242688	100000	1000
vroom	dplyr	filter	real	0.019407272338867188	1963219523	7792242688	100000	1000
vroom	dplyr	aggregate	process	0.07652678499999865	1963219523	7792242688	100000	1000
vroom	dplyr	aggregate	real	0.07652854919433594	1963219523	7792242688	100000	1000
vroom_no_altrep	base	setup	process	0.22699760899999988	1963219523	5739347968	100000	1000
vroom_no_altrep	base	setup	real	0.22700119018554688	1963219523	5739347968	100000	1000
vroom_no_altrep	base	read	process	40.352723725000004	1963219523	5739347968	100000	1000
vroom_no_altrep	base	read	real	6.934685707092285	1963219523	5739347968	100000	1000
vroom_no_altrep	base	print	process	0.060421132000001876	1963219523	5739347968	100000	1000
vroom_no_altrep	base	print	real	0.06042838096618652	1963219523	5739347968	100000	1000
vroom_no_altrep	base	head	process	0.0024158189999994306	1963219523	5739347968	100000	1000
vroom_no_altrep	base	head	real	0.0024175643920898438	1963219523	5739347968	100000	1000
vroom_no_altrep	base	tail	process	0.0020524330000029067	1963219523	5739347968	100000	1000
vroom_no_altrep	base	tail	real	0.002053976058959961	1963219523	5739347968	100000	1000
vroom_no_altrep	base	sample	process	0.004886046000002864	1963219523	5739347968	100000	1000
vroom_no_altrep	base	sample	real	0.00488734245300293	1963219523	5739347968	100000	1000
vroom_no_altrep	base	filter	process	0.005605907000003185	1963219523	5739347968	100000	1000
vroom_no_altrep	base	filter	real	0.00560760498046875	1963219523	5739347968	100000	1000
vroom_no_altrep	base	aggregate	process	0.0062097089999966215	1963219523	5739347968	100000	1000
vroom_no_altrep	base	aggregate	real	0.006211280822753906	1963219523	5739347968	100000	1000
vroom_no_altrep	dplyr	setup	process	0.2939437899999999	1963219523	5740023808	100000	1000
vroom_no_altrep	dplyr	setup	real	0.2939589023590088	1963219523	5740023808	100000	1000
vroom_no_altrep	dplyr	read	process	41.10774825	1963219523	5740023808	100000	1000
